,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,CRR_price,MC_price,moneyness,MAE_BS,MAE_MC,MAE_CRR,Heston,MAE_Heston
217,10101,2025-11-11,AAPL251205C00275000,2025-12-05,275.0,275.350006,0.06815,0.04,0.237495418,0.538034583170243,6.85,7.0,2118,1300,,,,,0.023262536684184,28.5462028079783,-55.3717614261105,9.59473392731589,7.35932956968739,7.36060191197824,0.0,1.001272749090909,0.01567976785875056,0.25,0.01572570079343829,8.375193262541279,0.052353547384161696
218,10101,2025-11-04,AAPL251114C00270000,2025-11-14,270.0,270.477295,0.02979,0.04,0.246223358,0.536193538152552,4.8,4.85,7360,5948,,,,,0.034563885390822,18.5474384478767,-82.2516549466351,4.17176280982524,4.98908193361584,4.98999835673033,4.99993107281087,1.0017677592592593,0.008501654591494354,0.009063786156003683,0.008549137654421264,5.487333720004366,0.03431780932665113
219,10101,2025-11-04,AAPL251114C00260000,2025-11-14,260.0,270.477295,0.02979,0.04,0.284308915,0.803405632997507,11.85,12.05,1867,138,,,,,0.0208746563470936,12.9342706603307,-69.9223178892064,6.10804052604939,12.27067532531,12.2710314747658,12.4853417275737,1.0402972884615385,0.006708688814016752,0.011199617731667397,0.006716139639451913,13.405978159268749,0.030459794126961284
220,10101,2025-11-11,AAPL251219C00255000,2025-12-19,255.0,275.350006,0.10651,0.04,0.307135835,0.804723639844896,23.55,23.75,17347,134,,,,,0.00999810327270276,24.7975442674713,-43.6338995788806,20.9834852969235,24.5703696028446,24.5696157875852,0.0,1.0798039450980392,0.009729065569181837,0.25,0.009721097120350962,26.396037246017723,0.029027877864880813
221,10101,2025-11-11,AAPL260116C00300000,2026-01-16,300.0,275.350006,0.18322,0.04,0.238716109,0.236907563620558,3.15,3.3,51913,4910,,,,,0.0109710166098806,36.3807509206203,-26.1605741658122,11.270118688145,3.72128223537471,3.72187769822252,0.0,0.9178333533333334,0.03847149111431863,0.25,0.03851765102500158,3.129601832650037,0.007395206771314935
222,10101,2025-11-11,AAPL260116C00280000,2026-01-16,280.0,275.350006,0.18322,0.04,0.255744747,0.487516417571975,9.8,9.95,42437,4073,,,,,0.0132287597368839,46.9968673393769,-37.7367125152412,22.6129873322936,10.8178525657083,10.8206371354303,0.0,0.9833928785714287,0.023869685207805063,0.25,0.02394018064380505,11.15451321600608,0.03239273964572355
223,10101,2025-11-11,AAPL260116C00245000,2026-01-16,245.0,275.350006,0.18322,0.04,0.342169664,0.821380532394884,34.7,34.95,17995,81,,,,,0.00647513478400747,30.7775025282764,-36.3329094564947,34.7837955297303,36.3198718145286,36.3217817031809,0.0,1.1238775755102042,0.010731312379961189,0.25,0.010745022994837762,38.18720237160485,0.02413641329220994
224,10101,2025-11-04,AAPL271217C00210000,2027-12-17,210.0,270.477295,2.12021,0.04,0.394201615,0.8093924600872,88.95,89.55,1151,1,,,,,0.00175132717772524,107.084396621365,-14.7281831604576,253.010504347816,99.5895259089308,99.5805995203957,100.332994832429,1.287987119047619,0.02896225744798542,0.03104480345218206,0.028937253558531356,101.62909989598893,0.03467534984870849
225,10101,2025-11-05,AAPL251121C00280000,2025-11-21,280.0,270.140015,0.04623,0.04,0.218391605,0.241786688694927,1.61,1.67,25922,3457,,,,,0.0246059934753122,18.1291973766394,-45.3631719653409,2.93767959336679,1.76921886299886,1.76853215910425,1.80705909130374,0.9647857678571429,0.0196979974083628,0.0254663248938628,0.019593316936623452,1.9866488848706805,0.05284281781565249
226,10101,2025-11-05,AAPL251107C00270000,2025-11-07,270.0,270.140015,0.00788,0.04,0.217048845,0.521094553485253,2.13,2.19,24279,40392,,,,,0.0765407783363043,9.55332186787506,-137.112774417641,1.09199809358116,2.1900388319429,2.19053396099406,2.16552104056988,1.000518574074074,0.0034767166600578343,0.0006390093252175679,0.003534023263201392,2.6939701266333027,0.06180209798996557
227,10101,2025-11-05,AAPL251121C00257500,2025-11-21,257.5,270.140015,0.04623,0.04,0.265876482,0.815719256867538,14.05,14.35,750,67,,,,,0.0172426639235132,15.4662853961496,-52.7005500981844,9.50714139177385,14.7114104784249,14.7117037784878,14.6751625259942,1.049087436893204,0.009003705606072204,0.008365537429475357,0.009008869339573964,16.415823309523123,0.03901097375920993
228,10101,2025-11-05,AAPL251212C00285000,2025-12-12,285.0,270.140015,0.10377,0.04,0.227974029,0.262407607793241,2.69,2.78,287,114,,,,,0.0164279837603755,28.3608534349463,-33.8670768807283,7.04043890478954,3.04122707578614,3.04249865080534,3.05547598640681,0.9478597017543859,0.027991506013358345,0.029293965850713904,0.02810773773357771,3.0718623692015115,0.030791807056810932
229,10101,2025-11-05,AAPL251212C00250000,2025-12-12,250.0,270.140015,0.10377,0.04,0.295417202,0.817367728368418,22.55,23.05,17,145,,,,,0.0103004289658573,23.0430916917407,-40.6781867128622,20.437814967299,23.8499937707868,23.8494799300089,23.6526777928309,1.08056006,0.01151308959196051,0.009349537202093196,0.011507455372904605,25.92925818917311,0.034312041547950776
230,10101,2025-11-05,AAPL271217C00420000,2027-12-17,420.0,270.140015,2.11747,0.04,0.279853393,0.250760591643139,8.35,9.6,318,11,,,,,0.00289330018281279,125.117822224299,-10.4324441770321,114.576600860489,13.6304579223571,13.6245180110894,14.038555031937,0.643190511904762,0.1296784936589722,0.14104610116816155,0.12951303652059612,6.9804684776812875,0.055557981123083904
231,10101,2025-11-05,AAPL260417C00280000,2026-04-17,280.0,270.140015,0.44886,0.04,0.280494256,0.499495928726856,15.9,16.05,2446,78,,,,,0.00785853108093926,72.2028086505006,-27.2349096121424,52.4606245434993,18.0586597040969,18.0540599196755,18.2886609390241,0.9647857678571429,0.03260813308445851,0.03620752643230203,0.03253614897770731,16.708220502773965,0.011474499260938402
232,10101,2025-11-05,AAPL280121C00210000,2028-01-21,210.0,270.140015,2.21336,0.04,0.392370578,0.809198960964813,89.2,90.1,100,8,,,,,0.00172530148736626,109.343086120464,-14.4166803464965,261.444966525658,100.475717714362,100.476942666614,98.9354202355134,1.286381023809524,0.030188839136536527,0.02589353105274233,0.030192255065850493,102.68070426717975,0.03633771407467859
233,10101,2025-12-02,AAPL251212C00285000,2025-12-12,285.0,286.279999,0.02979,0.04,0.208504009,0.569703936534078,4.7,4.8,13726,9302,,,,,0.0381304207221802,19.4105805214401,-74.2540332396568,4.71089305851472,4.95874541566474,4.95797510464125,0.0,1.0044912245614035,0.010986600824460018,0.25,0.010946058139013141,6.318377367215402,0.08254617722186326
234,10101,2025-12-16,AAPL251219C00267500,2025-12-19,267.5,273.209991,0.01062,0.04,0.141610146,0.931088786851233,5.75,5.85,854,2252,,,,,0.033283456779089,3.73628904484461,-34.8475233442913,2.63831198367627,5.94555303656426,5.94544315268207,5.92026047807518,1.0213457607476635,0.006273837782942266,0.005183641296343982,0.006269101408709908,7.49205244569008,0.07293329507284828
235,10101,2025-12-02,AAPL251205C00267500,2025-12-05,267.5,286.279999,0.01062,0.04,0.528080891,0.900079738468894,18.7,19.6,1245,89,,,,,0.0112610638639352,5.1759062893408,-138.206981529978,2.52773853361417,19.6478093449293,19.6479064474061,0.0,1.0702056037383176,0.006498816513437354,0.25,0.006500084169792453,20.12512858552316,0.012730138192208385
236,10101,2025-11-12,AAPL251212C00275000,2025-12-12,275.0,273.470001,0.08459,0.04,0.234931967,0.500810154679628,6.7,6.75,1148,1322,,,,,0.0213499985515812,31.7306065655897,-49.2544190128629,10.9791099254881,7.16459952834913,7.1657969027117,0.0,0.9944363672727273,0.01634198990145465,0.25,0.016386501959542776,8.153841088508726,0.05311676908954372
237,10101,2025-11-12,AAPL251219C00255000,2025-12-19,255.0,273.470001,0.10377,0.04,0.281135118,0.806007045425514,21.35,21.5,17285,419,,,,,0.0110974969024848,24.2120372033435,-40.7223711055081,20.5583370381847,22.3035819937905,22.303803931864,0.0,1.0724313764705884,0.010251831899539102,0.25,0.010254421608681433,24.588236902766145,0.036910582295987676
238,10101,2025-12-16,AAPL260116C00285000,2026-01-16,285.0,273.209991,0.08733,0.04,0.184456398,0.247073476024143,1.9,1.92,30308,2390,,,,,0.0212044490345595,25.4963099594524,-29.5413358142896,5.70915269889632,2.12899459592359,2.12931223885684,2.09610874728209,0.958631547368421,0.028664214126124368,0.02435978367566625,0.028705790426287993,3.470915235670383,0.2043082769202072
